NLC,Entries_Full,Entries_Reduced,Entries_Season,Entries_Total,Exits_Full,Exits_Reduced,Exits_Season,Exits_Total,1516 Entries & Exits,1516 Interchanges
5131,319067,384846,760823,1464736,319067,384846,760823,1464736,2929472,0
3813,47559,3054,56885,107498,47559,3054,56885,107498,214996,0
3801,76547,7170,53985,137702,76547,7170,53985,137702,275404,41720.0864
3982,167408,19463,96581,283452,167408,19463,96581,283452,566904,0
8976,600344,846508,283120,1729972,600344,846508,283120,1729972,3459944,204138.8141
9090,19593,30571,13492,63656,19593,30571,13492,63656,127312,0
4435,12844,6203,0,19047,12844,6203,0,19047,38094,0
4440,673,319,0,992,673,319,0,992,1984,0
3602,104296,65350,48093,217739,104296,65350,48093,217739,435478,0
2448,16032,15327,4107,35466,16032,15327,4107,35466,70932,0
4303,67601,92721,557,160879,67601,92721,557,160879,321758,0
2552,125079,45991,45739,216809,125079,45991,45739,216809,433618,0
8600,133,23,0,156,133,23,0,156,312,0
8601,1102,748,0,1850,1102,748,0,1850,3700,0
8602,339,169,31,539,339,169,31,539,1078,0
7662,124,24,0,148,124,24,0,148,296,0
7286,7449,12093,4788,24330,7449,12093,4788,24330,48660,0
4529,56319,73912,94830,225061,56319,73912,94830,225061,450122,0
2287,4920,2322,2876,10118,4920,2322,2876,10118,20236,0
1404,254586,337226,353737,945549,254586,337226,353737,945549,1891098,0
3000,34073,34270,62763,131106,34073,34270,62763,131106,262212,0
1036,8054,9330,19243,36627,8054,9330,19243,36627,73254,0
9310,3056,5591,3026,11673,3056,5591,3026,11673,23346,0
5550,70357,51697,89668,211722,70357,51697,89668,211722,423444,0
5160,2540,3591,4596,10727,2540,3591,4596,10727,21454,0
2939,6658,5247,2290,14195,6658,5247,2290,14195,28390,0
2641,22623,12941,22329,57893,22623,12941,22329,57893,115786,0
8353,51383,30490,20936,102809,51383,30490,20936,102809,205618,0
2255,97528,159018,160180,416726,97528,159018,160180,416726,833452,0
2350,116925,273259,112093,502277,116925,273259,112093,502277,1004554,0
2125,130923,179721,219157,529801,130923,179721,219157,529801,1059602,0
9695,18379,30720,14394,63493,18379,30720,14394,63493,126986,0
9759,125950,238333,173150,537433,125950,238333,173150,537433,1074866,0
5132,119180,104021,272374,495575,119180,104021,272374,495575,991150,0
4614,12794,16156,18711,47661,12794,16156,18711,47661,95322,0
2760,54255,45246,29588,129089,54255,45246,29588,129089,258178,0
3145,9381,15980,15623,40984,9381,15980,15623,40984,81968,0
5623,220375,279891,232340,732606,220375,279891,232340,732606,1465212,139314.4772
5280,24766,50578,42885,118229,24766,50578,42885,118229,236458,0
6025,207217,321016,314538,842771,207217,321016,314538,842771,1685542,85548.3049
9905,38308,72235,45473,156016,38308,72235,45473,156016,312032,0
9861,35889,72385,63991,172265,35889,72385,63991,172265,344530,0
1805,60295,60722,20423,141440,60295,60722,20423,141440,282880,0
7520,20051,3719,7825,31595,20051,3719,7825,31595,63190,0
9883,48717,104412,40135,193264,48717,104412,40135,193264,386528,0
8605,8968,2144,695,11807,8968,2144,695,11807,23614,0
7787,55061,77607,14353,147021,55061,77607,14353,147021,294042,1419.5636
6847,5776,8110,20332,34218,5776,8110,20332,34218,68436,0
1223,28544,12765,9588,50897,28544,12765,9588,50897,101794,0
6869,4769,4086,11873,20728,4769,4086,11873,20728,41456,0
6532,1674,3277,996,5947,1674,3277,996,5947,11894,0
8606,142,14,0,156,142,14,0,156,312,0
5544,86161,126295,164145,376601,86161,126295,164145,376601,753202,0
2806,49359,78165,126272,253796,49359,78165,126272,253796,507592,209.1726
1198,30170,14744,38663,83577,30170,14744,38663,83577,167154,0
1678,7154,10466,3133,20753,7154,10466,3133,20753,41506,0
5250,5609,15053,8252,28914,5609,15053,8252,28914,57828,0
506,405308,441711,125136,972155,405308,441711,125136,972155,1944310,0
4236,5925,3485,74,9484,5925,3485,74,9484,18968,0
6358,1761,455,1462,3678,1761,455,1462,3678,7356,0
9965,68386,68166,175770,312322,68386,68166,175770,312322,624644,0
5510,119522,255499,227908,602929,119522,255499,227908,602929,1205858,1222.711
5397,112024,172609,159109,443742,112024,172609,159109,443742,887484,0
6909,5356,2223,6298,13877,5356,2223,6298,13877,27754,0
5267,68541,218212,145937,432690,68541,218212,145937,432690,865380,0
9451,5621,52654,1364,59639,5621,52654,1364,59639,119278,0
9972,141607,267809,167799,577215,141607,267809,167799,577215,1154430,0
2662,10491,5826,3080,19397,10491,5826,3080,19397,38794,0
8562,15803,14799,17607,48209,15803,14799,17607,48209,96418,0
2052,22273,3449,796,26518,22273,3449,796,26518,53036,2.4182
5003,3307,6967,9321,19595,3307,6967,9321,19595,39190,0
3109,839,1810,1227,3876,839,1810,1227,3876,7752,0
2396,21780,64587,37256,123623,21780,64587,37256,123623,247246,0
1430,77524,83321,127366,288211,77524,83321,127366,288211,576422,0
9079,69376,85580,36595,191551,69376,85580,36595,191551,383102,915.5821
8613,2748,566,52,3366,2748,566,52,3366,6732,0
9962,1121,1415,0,2536,1121,1415,0,2536,5072,0
9453,29398,25989,156,55543,29398,25989,156,55543,111086,0
9569,24657,52746,33142,110545,24657,52746,33142,110545,221090,325.2988
9455,2272,5162,2600,10034,2272,5162,2600,10034,20068,0
2960,259,173,16,448,259,173,16,448,896,0
9961,137351,381520,172603,691474,137351,381520,172603,691474,1382948,0
8821,1972,1557,0,3529,1972,1557,0,3529,7058,0
6171,80749,110723,142329,333801,80749,110723,142329,333801,667602,0
990,29999,39496,38200,107695,29999,39496,38200,107695,215390,0
2054,2511,366,98,2975,2511,366,98,2975,5950,0
1963,27195,20715,6958,54868,27195,20715,6958,54868,109736,0
8045,108,358,386,852,108,358,386,852,1704,0
9963,4850,2296,472,7618,4850,2296,472,7618,15236,0
5251,20158,78791,57004,155953,20158,78791,57004,155953,311906,0
5666,211628,295735,120596,627959,211628,295735,120596,627959,1255918,318289.9812
3003,1531,123,612,2266,1531,123,612,2266,4532,0
5641,39135,44788,60292,144215,39135,44788,60292,144215,288430,34523.4921
5547,59473,64541,120304,244318,59473,64541,120304,244318,488636,130150.3164
2941,13621,13260,16687,43568,13621,13260,16687,43568,87136,0
4700,16021,18584,10895,45500,16021,18584,10895,45500,91000,0
9953,9709,23310,5231,38250,9709,23310,5231,38250,76500,0
5667,130131,130394,272968,533493,130131,130394,272968,533493,1066986,0
5004,288913,763894,829488,1882295,288913,763894,829488,1882295,3764590,815012.948300002
2850,1282,1540,967,3789,1282,1540,967,3789,7578,0
5347,164287,179904,320639,664830,164287,179904,320639,664830,1329660,0
2790,43477,79562,57934,180973,43477,79562,57934,180973,361946,0
5398,2556,4178,6520,13254,2556,4178,6520,13254,26508,0
5906,15448,20642,28492,64582,15448,20642,28492,64582,129164,0
6083,15541,11427,45111,72079,15541,11427,45111,72079,144158,0
1953,19553,458,11709,31720,19553,458,11709,31720,63440,0
6233,4432,4253,3198,11883,4432,4253,3198,11883,23766,0
2095,7848,2997,2576,13421,7848,2997,2576,13421,26842,0
1380,941,1849,1992,4782,941,1849,1992,4782,9564,0
1004,54024,92013,120569,266606,54024,92013,120569,266606,533212,49623.3674
1074,27714,24728,18305,70747,27714,24728,18305,70747,141494,0
2584,44478,73202,100320,218000,44478,73202,100320,218000,436000,0
8608,253,157,0,410,253,157,0,410,820,0
1624,35118,5902,14819,55839,35118,5902,14819,55839,111678,0
7367,23373,34996,18533,76902,23373,34996,18533,76902,153804,0
9457,10656,15285,5052,30993,10656,15285,5052,30993,61986,0
7017,81721,150353,232192,464266,81721,150353,232192,464266,928532,6317.4578
2215,21517,42157,30161,93835,21517,42157,30161,93835,187670,0
8610,30621,42838,2582,76041,30621,42838,2582,76041,152082,56.0794
3265,5171,4274,529,9974,5171,4274,529,9974,19948,0
3200,45164,4592,15174,64930,45164,4592,15174,64930,129860,0
5714,21249,129004,46966,197219,21249,129004,46966,197219,394438,0
1492,155358,200291,223526,579175,155358,200291,223526,579175,1158350,3775.2928
1090,16188,17509,50608,84305,16188,17509,50608,84305,168610,0
5162,17812,14815,25030,57657,17812,14815,25030,57657,115314,0
5197,11713,16050,13910,41673,11713,16050,13910,41673,83346,0
9463,218784,411373,147694,777851,218784,411373,147694,777851,1555702,72700.1694
2187,64282,97170,21562,183014,64282,97170,21562,183014,366028,0
4186,7019,2632,3790,13441,7019,2632,3790,13441,26882,0
5681,33416,25558,27866,86840,33416,25558,27866,86840,173680,0
8552,55063,24744,58551,138358,55063,24744,58551,138358,276716,0
9763,17937,27391,17789,63117,17937,27391,17789,63117,126234,0
5492,12099,21980,30295,64374,12099,21980,30295,64374,128748,0
6084,89714,116625,122765,329104,89714,116625,122765,329104,658208,0
5399,890125,1429053,2738085,5057263,890125,1429053,2738085,5057263,10114526,451220.1097
9862,60488,149046,63758,273292,60488,149046,63758,273292,546584,0
9013,87,16,393,496,87,16,393,496,992,0
2561,27798,5985,9306,43089,27798,5985,9306,43089,86178,0
2820,6581,6877,503,13961,6581,6877,503,13961,27922,0
8839,972,2195,5,3172,972,2195,5,3172,6344,0
4502,305312,574351,335248,1214911,305312,574351,335248,1214911,2429822,281668.504999998
2471,98302,214275,24236,336813,98302,214275,24236,336813,673626,1290.7599
2238,19608,37437,25012,82057,19608,37437,25012,82057,164114,0
5348,26441,21583,33738,81762,26441,21583,33738,81762,163524,0
9466,21826,37588,25467,84881,21826,37588,25467,84881,169762,0
7563,1803,2463,674,4940,1803,2463,674,4940,9880,0
2690,54067,7514,32479,94060,54067,7514,32479,94060,188120,0
9764,13660,20465,13482,47607,13660,20465,13482,47607,95214,0
4011,66739,6482,32019,105240,66739,6482,32019,105240,210480,0
7492,1569838,2379001,2765465,6714304,1569838,2379001,2765465,6714304,13428608,777092.4322
5133,17284,18889,32008,68181,17284,18889,32008,68181,136362,0
4445,57154,26187,12560,95901,57154,26187,12560,95901,191802,0
5089,165526,186089,536040,887655,165526,186089,536040,887655,1775310,0
5551,313040,389414,623825,1326279,313040,389414,623825,1326279,2652558,26526.7106
5580,122139,139500,196599,458238,122139,139500,196599,458238,916476,0
6406,6367,22339,3582,32288,6367,22339,3582,32288,64576,3997.7553
5252,79349,178637,251952,509938,79349,178637,251952,509938,1019876,887348.284000001
9973,10388,16208,9585,36181,10388,16208,9585,36181,72362,0
6774,271649,290820,178969,741438,271649,290820,178969,741438,1482876,27737.3936
5725,9429,174929,26315,210673,9429,174929,26315,210673,421346,0
1096,43409,32869,58793,135071,43409,32869,58793,135071,270142,45026.4006
9674,80850,119356,144282,344488,80850,119356,144282,344488,688976,0
9467,1446,3629,0,5075,1446,3629,0,5075,10150,0
6212,684,118,0,802,684,118,0,802,1604,0
1954,160071,105505,50106,315682,160071,105505,50106,315682,631364,16548.2909
1903,14672,11678,23004,49354,14672,11678,23004,49354,98708,0
3805,159436,20222,92224,271882,159436,20222,92224,271882,543764,3897.0218
3806,70284,6057,31625,107966,70284,6057,31625,107966,215932,0
3807,138031,22111,166747,326889,138031,22111,166747,326889,653778,0
9020,31,3,0,34,31,3,0,34,68,0
6207,15257,2136,1350,18743,15257,2136,1350,18743,37486,0
7494,442475,339103,696396,1477974,442475,339103,696396,1477974,2955948,0
5520,616984,1104141,1148604,2869729,616984,1104141,1148604,2869729,5739458,891140.277200004
5090,11939,13159,19375,44473,11939,13159,19375,44473,88946,0
3271,620013,1895920,551226,3067159,620013,1895920,551226,3067159,6134318,184299.9693
9311,167742,249512,194309,611563,167742,249512,194309,611563,1223126,0
8484,61479,54278,49682,165439,61479,54278,49682,165439,330878,0
7909,715,14,0,729,715,14,0,729,1458,0
5420,206705,303329,542490,1052524,206705,303329,542490,1052524,2105048,3858.0345
5215,46776,117269,113965,278010,46776,117269,113965,278010,556020,0
6870,2322,2593,2577,7492,2322,2593,2577,7492,14984,0
6006,7843,9710,9189,26742,7843,9710,9189,26742,53484,0
3047,193735,229009,362629,785373,193735,229009,362629,785373,1570746,0
2420,210,170,151,531,210,170,151,531,1062,0
9966,75848,123188,83641,282677,75848,123188,83641,282677,565354,0
5091,27595,63877,107651,199123,27595,63877,107651,199123,398246,0
8822,113,70,0,183,113,70,0,183,366,0
5890,1188,2423,1003,4614,1188,2423,1003,4614,9228,0
8877,15211,13478,1014,29703,15211,13478,1014,29703,59406,0
2188,195730,156762,109933,462425,195730,156762,109933,462425,924850,0
7258,13484,34366,6550,54400,13484,34366,6550,54400,108800,0
5076,47362,53890,62791,164043,47362,53890,62791,164043,328086,0
5046,313150,386997,656360,1356507,313150,386997,656360,1356507,2713014,82922.239
1512,256540.861719862,869352.169180728,789144.096361049,1915037.12726164,256540.861719862,869352.169180728,789144.096361049,1915037.12726164,3830074.25452328,49459.7784
1510,11965.1382801382,40546.8308192722,36805.903638951,89317.8727383615,11965.1382801382,40546.8308192722,36805.903638951,89317.8727383615,178635.745476723,0
5538,22504,17762,26197,66463,22504,17762,26197,66463,132926,0
3245,20773,14137,11524,46434,20773,14137,11524,46434,92868,0
1165,25839,7556,8148,41543,25839,7556,8148,41543,83086,0
3070,7559,34958,18333,60850,7559,34958,18333,60850,121700,0
1625,145466,93915,47647,287028,145466,93915,47647,287028,574056,83522.1142000001
5198,3434,5812,5029,14275,3434,5812,5029,14275,28550,0
2785,1125,3080,965,5170,1125,3080,965,5170,10340,0
9895,91919,167054,87240,346213,91919,167054,87240,346213,692426,39372.8615
5062,85315,99807,219624,404746,85315,99807,219624,404746,809492,0
9714,90166,148655,200910,439731,90166,148655,200910,439731,879462,40776.1045
5350,23423,13070,42861,79354,23423,13070,42861,79354,158708,0
1679,35717,55366,21630,112713,35717,55366,21630,112713,225426,979.3208
5227,1443,1251,3015,5709,1443,1251,3015,5709,11418,0
5092,122743,140966,245748,509457,122743,140966,245748,509457,1018914,0
8047,3059,2212,935,6206,3059,2212,935,6206,12412,0
8564,47719,37297,25369,110385,47719,37297,25369,110385,220770,0
7439,474856,364578,1022105,1861539,474856,364578,1022105,1861539,3723078,0
2676,8857,2126,306,11289,8857,2126,306,11289,22578,0
5624,15686,14761,44832,75279,15686,14761,44832,75279,150558,0
8352,35330,16682,18350,70362,35330,16682,18350,70362,140724,0
3549,1204,11463,7118,19785,1204,11463,7118,19785,39570,0
3550,522,5179,2790,8491,522,5179,2790,8491,16982,0
1390,232926,292912,343923,869761,232926,292912,343923,869761,1739522,0
1045,30047,41964,75462,147473,30047,41964,75462,147473,294946,0
6543,685,268,239,1192,685,268,239,1192,2384,0
7330,340,145,23,508,340,145,23,508,1016,0
8431,5800,6012,4641,16453,5800,6012,4641,16453,32906,0
5581,50758,61777,74631,187166,50758,61777,74631,187166,374332,0
5323,6844,20289,14994,42127,6844,20289,14994,42127,84254,0
7791,12436,238015,14048,264499,12436,238015,14048,264499,528998,1429.7054
2351,623,1160,190,1973,623,1160,190,1973,3946,0
1003,13587,27928,36495,78010,13587,27928,36495,78010,156020,0
5472,2408,2561,3351,8320,2408,2561,3351,8320,16640,0
6961,119086,181921,230024,531031,119086,181921,230024,531031,1062062,0
2449,10098,7823,15,17936,10098,7823,15,17936,35872,0
8048,62220,157422,99168,318810,62220,157422,99168,318810,637620,7.2766
5211,92422,258335,411570,762327,92422,258335,411570,762327,1524654,0
5093,147287,152129,289029,588445,147287,152129,289029,588445,1176890,0
5094,343610,379022,781540,1504172,343610,379022,781540,1504172,3008344,0
3048,126807,347365,234128,708300,126807,347365,234128,708300,1416600,43676.4029
3104,16831,156167,33718,206716,16831,156167,33718,206716,413432,1979.8549
5063,134021,134923,187728,456672,134021,134923,187728,456672,913344,2086.0634
2136,59112,51366,49519,159997,59112,51366,49519,159997,319994,95157.1777
6170,108193,167965,219883,496041,108193,167965,219883,496041,992082,0
4618,16966,13626,28407,58999,16966,13626,28407,58999,117998,0
6871,267621,309661,974828,1552110,267621,309661,974828,1552110,3104220,0
7910,28521,8383,6104,43008,28521,8383,6104,43008,86016,0
5464,40659,84027,117750,242436,40659,84027,117750,242436,484872,0
6235,11017,13823,4669,29509,11017,13823,4669,29509,59018,0
8553,217738,201343,190776,609857,217738,201343,190776,609857,1219714,0
3907,14119,1462,10263,25844,14119,1462,10263,25844,51688,0
5163,15692,39229,116294,171215,15692,39229,116294,171215,342430,0
2304,155161,81624,98440,335225,155161,81624,98440,335225,670450,0
5401,18601,17038,22835,58474,18601,17038,22835,58474,116948,0
2352,81473,301564,116842,499879,81473,301564,116842,499879,999758,0
2217,171715,192443,118473,482631,171715,192443,118473,482631,965262,0
2219,334823,398128,275788,1008739,334823,398128,275788,1008739,2017478,224050.6364
2145,195331,99278,90998,385607,195331,99278,90998,385607,771214,66410.7461
2220,175816,128052,81691,385559,175816,128052,81691,385559,771118,0
4513,471,5507,697,6675,471,5507,697,6675,13350,0
1215,805159,1310962,770303,2886424,805159,1310962,770303,2886424,5772848,94355.9894999999
4515,698248,1319306,1419557,3437111,698248,1319306,1419557,3437111,6874222,450609.3136
1127,3791408,7586049,8161052,19538509,3791408,7586049,8161052,19538509,39077018,5825477.03499995
1006,378990,711746,1265851,2356587,378990,711746,1265851,2356587,4713174,242862.7726
7835,34675,13668,6687,55030,34675,13668,6687,55030,110060,0
9940,76654,237450,77838,391942,76654,237450,77838,391942,783884,0
6800,339581,455801,756767,1552149,339581,455801,756767,1552149,3104298,73276.3714000001
5402,3313,9460,1718,14491,3313,9460,1718,14491,28982,0
9620,70758,111812,144555,327125,70758,111812,144555,327125,654250,0
5945,18794,15842,14337,48973,18794,15842,14337,48973,97946,0
2737,318365,148940,112596,579901,318365,148940,112596,579901,1159802,80761.6986999999
5112,1086992,1326834,2819997,5233823,1086992,1326834,2819997,5233823,10467646,758568.8021
5095,392469,529758,801913,1724140,392469,529758,801913,1724140,3448280,16283.585
7400,196820,335015,475015,1006850,196820,335015,475015,1006850,2013700,0
2739,359146,463487,59374,882007,359146,463487,59374,882007,1764014,3982.0322
2738,21859,30648,1013,53520,21859,30648,1013,53520,107040,0
2740,36745,21872,4464,63081,36745,21872,4464,63081,126162,28.0896
991,8831,9766,8000,26597,8831,9766,8000,26597,53194,0
2732,18367,12915,246515,277797,18367,12915,246515,277797,555594,0
5625,67333,124540,75524,267397,67333,124540,75524,267397,534794,0
2450,8593,9320,0,17913,8593,9320,0,17913,35826,0
8750,2720,5583,23,8326,2720,5583,23,8326,16652,0
9760,52636,84226,94440,231302,52636,84226,94440,231302,462604,0
1176,48637,50869,89527,189033,48637,50869,89527,189033,378066,0
4574,9876,5676,32962,48514,9876,5676,32962,48514,97028,0
9716,65111,120862,119392,305365,65111,120862,119392,305365,610730,0
7503,2729,1076,2928,6733,2729,1076,2928,6733,13466,0
6204,2272,350,347,2969,2272,350,347,2969,5938,0
1360,68925,206394,256117,531436,68925,206394,256117,531436,1062872,96701.3677
1141,10995,10447,422,21864,10995,10447,422,21864,43728,0
1018,12181,11138,46,23365,12181,11138,46,23365,46730,0
2123,157302,366176,182092,705570,157302,366176,182092,705570,1411140,0
1282,22129,12930,10618,45677,22129,12930,10618,45677,91354,0
3501,7304,99710,10382,117396,7304,99710,10382,117396,234792,0
2435,1564,922,172,2658,1564,922,172,2658,5316,0
5253,96513,306864,197853,601230,96513,306864,197853,601230,1202460,0
9668,5099,6427,9357,20883,5099,6427,9357,20883,41766,0
2599,331162,493171,608825,1433158,331162,493171,608825,1433158,2866316,456664.3246
8536,12711,14669,10218,37598,12711,14669,10218,37598,75196,0
5626,48957,50000,67684,166641,48957,50000,67684,166641,333282,0
1993,4698,335,1053,6086,4698,335,1053,6086,12172,0
2195,121666,249374,117238,488278,121666,249374,117238,488278,976556,779.9159
2239,78729,110011,132694,321434,78729,110011,132694,321434,642868,0
5130,35286,77774,97641,210701,35286,77774,97641,210701,421402,0
4304,21078,9491,165,30734,21078,9491,165,30734,61468,0
5254,13318,19683,18178,51179,13318,19683,18178,51179,102358,0
6216,39669,56441,7574,103684,39669,56441,7574,103684,207368,0
5894,23492,23385,31950,78827,23492,23385,31950,78827,157654,0
6237,10549,8627,11458,30634,10549,8627,11458,30634,61268,0
3018,29536,37072,59036,125644,29536,37072,59036,125644,251288,84921.0513
5876,318296,812146,213638,1344080,318296,812146,213638,1344080,2688160,74434.5053
1112,107205,194543,251419,553167,107205,194543,251419,553167,1106334,0
1381,3090,4173,14245,21508,3090,4173,14245,21508,43016,0
6027,70428,57378,331257,459063,70428,57378,331257,459063,918126,0
9968,4337,7338,17764,29439,4337,7338,17764,29439,58878,0
5403,10446,21256,19230,50932,10446,21256,19230,50932,101864,0
5693,437372,361454,394223,1193049,437372,361454,394223,1193049,2386098,0
8346,379881,317498,335450,1032829,379881,317498,335450,1032829,2065658,39414.1803
8345,420988,596675,479007,1496670,420988,596675,479007,1496670,2993340,73586.2834
3341,100807,108750,52533,262090,100807,108750,52533,262090,524180,3651.5274
5530,15438,2243,4242,21923,15438,2243,4242,21923,43846,0
6801,54683,106420,240755,401858,54683,106420,240755,401858,803716,0
2053,10885,19550,6246,36681,10885,19550,6246,36681,73362,0
2944,31552,45195,68241,144988,31552,45195,68241,144988,289976,0
5500,28680,61365,46850,136895,28680,61365,46850,136895,273790,0
8496,57988,37040,62643,157671,57988,37040,62643,157671,315342,0
7565,4175,3394,1861,9430,4175,3394,1861,9430,18860,0
7259,1307,2286,722,4315,1307,2286,722,4315,8630,0
9938,16308,27784,16756,60848,16308,27784,16756,60848,121696,0
7200,20309,21518,11324,53151,20309,21518,11324,53151,106302,0
5875,43111,57745,40469,141325,43111,57745,40469,141325,282650,0
2045,491,23,0,514,491,23,0,514,1028,0
2779,23603,39273,42627,105503,23603,39273,42627,105503,211006,0
9251,42,5,22,69,42,5,22,69,138,0
5552,287725,233625,441749,963099,287725,233625,441749,963099,1926198,0
6872,411806,386409,611065,1409280,411806,386409,611065,1409280,2818560,0
1560,5565,4253,4653,14471,5565,4253,4653,14471,28942,0
9889,59688,47336,32447,139471,59688,47336,32447,139471,278942,0
8823,1969,971,0,2940,1969,971,0,2940,5880,0
3809,269281,270661,230395,770337,269281,270661,230395,770337,1540674,47839.8501
9789,73746,128829,113324,315899,73746,128829,113324,315899,631798,0
3449,45354,95772,15020,156146,45354,95772,15020,156146,312292,0
8049,77043,109900,32632,219575,77043,109900,32632,219575,439150,126.0998
2554,10560,2180,3012,15752,10560,2180,3012,15752,31504,0
6464,450,136,0,586,450,136,0,586,1172,0
8514,63105,95112,49830,208047,63105,95112,49830,208047,416094,0
5268,1300276,4965718,2400669,8666663,1300276,4965718,2400669,8666663,17333326,1866958.437
6810,108095,141181,239879,489155,108095,141181,239879,489155,978310,0
2603,7986,17488,13800,39274,7986,17488,13800,39274,78548,0
3230,392766,626021,236721,1255508,392766,626021,236721,1255508,2511016,695181.596499996
3231,1480996,2790357,1084379,5355732,1480996,2790357,1084379,5355732,10711464,1477458.2629
4012,5077,580,1807,7464,5077,580,1807,7464,14928,0
7932,211,5,154,370,211,5,154,370,740,0
4187,11800,2550,3262,17612,11800,2550,3262,17612,35224,0
5081,146526,192722,301868,641116,146526,192722,301868,641116,1282232,0
2240,85789,113647,111764,311200,85789,113647,111764,311200,622400,0
2892,17518,28218,26021,71757,17518,28218,26021,71757,143514,0
5006,41836,200249,89364,331449,41836,200249,89364,331449,662898,0
5886,91110,200650,255320,547080,91110,200650,255320,547080,1094160,278492.7856
8429,11869,10940,8178,30987,11869,10940,8178,30987,61974,0
5404,459179,806261,850033,2115473,459179,806261,850033,2115473,4230946,0
2190,140705,130767,51115,322587,140705,130767,51115,322587,645174,0
2191,64105,55641,29356,149102,64105,55641,29356,149102,298204,0
2697,40459,37141,68277,145877,40459,37141,68277,145877,291754,0
5096,47903,36459,184066,268428,47903,36459,184066,268428,536856,0
5064,915882,1519513,1723333,4158728,915882,1519513,1723333,4158728,8317456,1032525.3884
4715,98697,52424,158819,309940,98697,52424,158819,309940,619880,0
1437,235448,449140,670356,1354944,235448,449140,670356,1354944,2709888,0
1438,147476,176943,199859,524278,147476,176943,199859,524278,1048556,0
6074,33222,27203,59967,120392,33222,27203,59967,120392,240784,0
5687,133030,100334,264207,497571,133030,100334,264207,497571,995142,61230.6265
4175,460,82,240,782,460,82,240,782,1564,0
8050,205,147,330,682,205,147,330,682,1364,0
8618,2081,681,0,2762,2081,681,0,2762,5524,0
8051,45717,110962,45857,202536,45717,110962,45857,202536,405072,6734.3725
9023,10272,7785,3581,21638,10272,7785,3581,21638,43276,0
6812,256210,333236,300718,890164,256210,333236,300718,890164,1780328,307757.8419
